district,jowar,bajra,maize,barley,small millets,ragi,arhar,moong,masur,urd,peas,khesari,other pulses,gram products,besan,other pulse products
Dhalai,0.645672885,3.347027115,0,0,0,0,0,0.543012002,1.852607998,0,0,0,0,0,0,0
North Tripura,1.350710739,7.001789261,0,0,0,0,0,1.135950045,3.875549955,0,0,0,0,0,0,0
West Garo Hills,0.680012714,3.525037286,0,0,0,0,0,0.571891857,1.951138143,0,0,0,0,0,0,0
East Garo Hills,0,0.520116252,1.200433748,0,0,0,0,0,0,0,1.03233,0,0,0,0,0
South Garo Hills,0.140666356,0.729183644,0,0,0,0,0,0.118300646,0.403609354,0,0,0,0,0,0,0
West Khasi Hills,1.285885908,0,0,0.484969307,0.470662227,0.222982558,0.327777258,0,0,0.484969307,0,0,0,0.180984129,0.484969307,0
Ri Bhoi,0.259558009,1.345491991,0,0,0,0,0,0.21828873,0.74474127,0,0,0,0,0,0,0
East Khasi Hills,0.834966444,4.328283556,0,0,0,0,0,0.70220821,2.39574179,0,0,0,0,0,0,0
Jaintia Hills,1.340410184,0,0,0.505533028,0.490619299,0.232437489,0.341675705,0,0,0.505533028,0,0,0,0.188658238,0.505533028,0
Kokrajhar,1.265415034,6.559634966,0,0,0,0,0,1.064216211,3.630813789,0,0,0,0,0,0,0
Dhubri,2.425878105,12.575221895,0,0,0,0,0,2.040167642,6.960492358,0,0,0,0,0,0,0
Goalpara,1.406429074,7.290620926,0,0,0,0,0,1.18280926,4.03542074,0,0,0,0,0,0,0
Bongaigaon,0.683699779,3.544150221,0,0,0,0,0,0.574992685,1.961717315,0,0,0,0,0,0,0
Barpeta,2.304819493,11.947680507,0,0,0,0,0,1.938357141,6.613142859,0,0,0,0,0,0,0
Kamrup,2.251963485,11.673686515,0,0,0,0,0,1.893905148,6.461484852,0,0,0,0,0,0,0
Nalbari,0.817687373,4.238712627,0,0,0,0,0,0.687676481,2.346163519,0,0,0,0,0,0,0
Darrang,0.990534685,5.134715315,0,0,0,0,0,0.833041367,2.842108633,0,0,0,0,0,0,0
Marigaon,1.089341541,5.646908459,0,0,0,0,0,0.916138102,3.125611898,0,0,0,0,0,0,0
Nagaon,2.939261386,15.236488614,0,0,0,0,0,2.47192386,8.43352614,0,0,0,0,0,0,0
Sonitpur,2.001817193,10.376982807,0,0,0,0,0,1.683531688,5.743748312,0,0,0,0,0,0,0
Lakhimpur,1.305519944,6.767530056,0,0,0,0,0,1.097944509,3.745885491,0,0,0,0,0,0,0
Dhemaji,0.836939347,4.338510653,0,0,0,0,0,0.703867424,2.401402576,0,0,0,0,0,0,0
Tinsukia,0.900808034,4.669591966,0,0,0,0,0,0.757581099,2.584658901,0,0,0,0,0,0,0
Dibrugarh,0,1.614127303,3.725422697,0,0,0,0,0,0,0,3.20373,0,0,0,0,0
Sibsagar,1.594445098,8.265254902,0,0,0,0,0,1.340931058,4.574888942,0,0,0,0,0,0,0
Jorhat,1.244554012,6.451495988,0,0,0,0,0,1.046672056,3.570957944,0,0,0,0,0,0,0
Golaghat,1.60653317,8.32791683,0,0,0,0,0,1.351097148,4.609572852,0,0,0,0,0,0,0
Karbi Anglong,1.356249422,7.030500578,0,0,0,0,0,1.140608087,3.891441913,0,0,0,0,0,0,0
North Cachar Hills,0.301700508,1.563949492,0,0,0,0,0,0.253730644,0.865659356,0,0,0,0,0,0,0
Cachar,2.519599076,13.061050924,0,0,0,0,0,2.118987139,7.229402861,0,0,0,0,0,0,0
Karimganj,1.859598389,9.639751611,0,0,0,0,0,1.56392543,5.33568457,0,0,0,0,0,0,0
Hailakandi,0.756697184,3.922552816,0,0,0,0,0,0.636383628,2.171166372,0,0,0,0,0,0,0
Chirag,0.671538935,3.481111065,0,0,0,0,0,0.564765394,1.926824606,0,0,0,0,0,0,0
Baksa,0.510092414,2.644207586,0,0,0,0,0,0.428988594,1.463591406,0,0,0,0,0,0,0
