District,Median Income,Latitude,Longitude,jowar,bajra,maize,barley,small millets,ragi,arhar,moong,masur,urd,peas,khesari,gram products,besan,Cluster
Ajmer,"1,751",13.224947699999998,37.31995815,0.0,23.67,15.72,30.0,0.0,0.0,0.43,0.91,0.56,0.66,0.25,0.0,0.0,0.57,1
Tonk,"1,587",13.0810201,37.89473579999999,0.0,7.39,4.57,0.0,0.0,0.0,0.41,0.44,0.3,0.35,0.2,0.0,0.0,0.62,2
Bundi,"1,234",12.715257199999998,37.82495125,0.0,2.87,9.88,0.0,0.0,0.0,0.66,0.85,0.57,0.67,0.1,0.0,0.0,0.73,2
Bhilwara,"2,125",12.6606885,37.293476500000004,0.0,21.8,12.73,0.0,0.0,0.0,0.46,0.86,0.51,0.97,0.5,0.0,0.0,0.56,1
Rajsamand,"1,310",12.535742550000002,36.94153504999999,0.0,0.0,10.13,0.0,0.0,0.0,0.67,0.69,0.51,0.9,0.0,0.0,0.0,0.69,2
Udaipur,"1,310",12.2927225,36.8562395,0.0,0.0,15.31,0.0,0.63,0.0,0.75,0.68,0.4,0.82,0.2,0.0,0.0,0.45,0
Dungarpur,890,11.920834,36.85733115,0.0,3.0,4.67,0.0,2.0,0.0,0.73,0.54,0.52,0.82,1.0,0.0,0.0,0.71,2
Banswara,"1,278",11.773069699999999,37.21748805,0.0,0.0,16.96,0.0,0.0,0.0,1.24,0.89,0.36,1.04,0.2,0.0,0.0,0.59,0
Chittaurgarh,"1,524",12.44437175,37.313460799999994,0.0,1.0,8.87,0.0,0.0,0.0,0.72,0.72,0.59,0.75,0.67,0.0,0.0,0.59,2
Kota,"1,535",12.6069078,37.93237635,1.82,4.58,13.26,0.0,0.0,0.0,0.68,0.81,0.51,0.63,0.5,0.0,1.0,0.73,0
Baran,"1,398",12.5505719,38.256581849999996,0.0,2.64,3.31,0.0,0.0,0.0,0.76,0.63,0.45,0.43,0.5,0.0,0.0,0.59,2
Jhalawar,"1,375",12.2986747,38.0804919,5.57,2.78,3.97,0.0,0.0,0.0,0.75,0.68,0.47,0.7,0.5,0.0,1.5,0.89,5
Saharanpur,"1,379",14.9835395,38.7755086,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.0,1.41,1.62,1.0,0.0,0.47,0.9,2
Muzaffarnagar,"1,374",14.73634085,38.85425454999999,0.0,0.0,1.59,2.0,0.0,0.0,0.99,0.9,1.16,1.19,2.0,0.0,0.71,0.83,2
Bijnor,"1,000",14.686221100000001,39.0679236,2.0,0.0,1.0,0.0,0.0,0.0,1.52,1.29,1.32,1.53,1.32,0.5,0.0,0.69,2
Moradabad,"1,051",14.419324050000002,39.3866643,0.0,0.0,1.19,0.0,0.0,0.0,1.53,0.6,0.95,1.34,1.06,0.0,0.0,0.72,2
Rampur,996,14.394652050000001,39.5124758,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.68,1.14,1.62,0.92,0.0,0.0,1.0,2
Jyotiba Phule Nagar,"1,002",14.38579825,39.1693533,0.0,0.0,0.5,0.0,0.0,0.0,1.25,1.1,1.29,1.8,1.58,1.0,0.0,0.67,2
Meerut,"1,821",14.492230900000001,38.85320685,0.0,1.96,2.55,0.0,0.0,0.0,0.81,0.54,1.12,0.85,0.72,0.0,0.6,0.95,2
Baghpat,"2,310",14.4710809,38.6130726,0.0,0.0,3.55,0.0,0.0,0.0,0.72,0.42,1.51,1.41,3.0,0.0,1.0,0.68,2
Ghaziabad,"2,290",14.33457825,38.726878899999996,0.0,0.0,2.19,0.0,0.0,0.0,0.94,0.77,0.92,0.78,0.25,0.0,0.54,0.68,2
Gautam Buddha Nagar,"2,146",14.179491500000001,38.775381,0.0,0.0,1.14,0.0,0.0,0.0,0.73,0.53,1.13,0.77,0.81,0.0,0.83,0.63,2
Bulandshahar,"1,316",14.2034815,38.9249146,0.0,11.52,11.12,0.0,0.0,0.0,1.17,0.56,0.95,0.77,1.0,0.0,0.0,0.69,1
Aligarh,"1,307",13.948697199999998,39.044006450000005,80.0,12.56,4.2,0.0,0.0,0.0,1.27,0.84,1.04,0.79,1.04,0.0,0.0,0.71,4
Hathras,"1,316",13.8028106,39.02689065,0.0,1.0,0.0,0.0,0.0,0.0,1.15,0.6,1.03,0.82,1.1,0.0,0.0,0.78,2
Mathura,"1,236",13.746206699999998,38.8368365,1.0,4.94,0.5,0.0,0.0,0.0,0.76,0.67,0.57,0.48,0.53,0.0,0.0,0.59,2
Agra,"1,096",13.58833505,39.00403725,6.85,6.2,0.57,0.0,0.0,0.0,0.97,0.59,0.58,0.51,1.01,0.0,0.0,0.59,5
Firozabad,"1,109",13.5795503,39.197878700000004,2.0,6.36,0.0,0.0,0.0,0.0,1.14,0.78,0.79,0.61,1.21,0.0,0.53,0.69,2
Etah,"1,582",13.779375250000001,39.331283500000005,0.0,19.6,1.81,0.0,0.0,0.0,1.27,0.57,0.87,0.78,1.1,0.0,0.0,0.77,1
Mainpuri,819,13.6142493,39.5124758,0.0,2.27,38.64,0.0,0.0,0.0,0.91,0.65,0.56,0.69,0.5,0.0,0.5,0.53,0
Budaun,994,14.0168544,39.56027095,0.0,16.07,4.35,0.0,0.0,0.0,1.3,0.95,1.42,1.6,1.65,0.0,0.5,0.7,1
Bareilly,"1,169",14.183517749999998,39.715219049999995,2.5,0.0,2.0,0.0,0.0,0.0,1.36,0.65,1.11,1.33,1.51,0.0,0.5,0.66,2
Pilibhit,991,14.310396950000001,39.906432450000004,0.5,0.0,0.0,0.0,0.0,0.0,1.29,0.9,1.53,1.01,1.3,0.0,0.5,0.56,2
Shahjahanpur,"1,003",13.941872,39.95612275,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.77,1.25,1.06,1.22,0.0,0.1,0.57,2
Kheri,896,14.08257,40.3163458,0.0,0.0,2.0,0.0,0.0,0.0,1.56,0.85,1.11,0.99,1.24,2.0,0.0,0.83,2
