District,Median Income,Latitude,Longitude,jowar,bajra,maize,barley,small millets,ragi,arhar,moong,masur,urd,peas,khesari,gram products,besan
Pashchimi Singhbum,796,22.3650858,85.4375574,0.00,0.00,0.00,0.00,0.00,0.00,1.22,0.76,1.65,0.56,0.55,1.07,0.50,0.69
Purbi Singhbum,"1,228",22.4866756,86.4996546,0.00,0.00,0.67,0.25,0.00,0.00,1.43,1.07,1.72,0.62,0.81,0.00,0.65,0.57
Latehar,"1,028",23.7463215,84.5091102,10.00,0.00,8.66,0.00,0.00,0.00,1.72,1.00,1.41,1.07,4.70,1.48,0.00,0.73
Simdega,920,22.6151138,84.4959985,0.00,8.00,2.50,0.00,0.00,0.00,1.52,1.00,1.49,2.17,1.00,0.50,1.02,0.56
Jamtara,862,23.9505496,86.8170132,0.00,0.00,4.02,0.00,0.00,0.00,1.15,0.65,1.32,1.93,0.75,0.00,0.49,0.51
Seraikela-kharsawan,884,22.7023346,85.9278993,0.00,0.00,0.00,0.00,0.00,0.00,1.35,0.94,1.26,1.06,0.54,0.00,0.95,0.61
Bargarh,790,21.3425839,83.624201,0.00,0.00,1.50,2.00,0.00,0.00,1.29,1.48,0.72,0.63,0.38,0.50,0.74,0.44
Jharsuguda,"1,009",21.8554375,84.0061661,0.00,0.00,3.00,0.00,0.00,0.00,1.80,1.75,1.20,0.99,0.64,1.00,0.00,0.62
Sambalpur,"1,122",21.4668716,83.9811665,0.00,0.00,0.00,0.00,0.00,0.20,1.58,1.21,0.89,0.66,0.68,0.00,1.00,0.66
Debagarh,676,21.5383136,84.7289442,0.00,0.00,0.00,0.00,0.00,0.00,1.01,1.03,1.12,0.49,0.49,0.58,0.50,0.52
Sundargarh,923,22.1240025,84.043175,0.00,0.00,0.00,0.00,0.00,0.00,1.56,0.90,0.80,1.04,0.49,1.09,1.00,1.03
Kendujhar,748,21.628933,85.5816847,0.00,0.00,0.00,1.50,0.00,0.00,1.17,0.86,0.81,0.72,0.63,0.00,0.00,0.68
Mayurbhanj,653,22.0086978,86.4187308,0.00,0.00,1.83,0.00,0.00,0.00,1.35,1.00,0.75,1.04,0.69,0.00,1.00,0.65
Baleshwar,"1,016",21.4869337,86.9246005,0.00,0.00,2.50,0.00,0.00,0.00,0.95,1.20,0.74,0.72,0.63,0.50,0.30,0.65
Bhadrak,870,21.0582737,86.4958396,0.50,0.00,0.00,0.00,0.00,0.00,1.57,1.11,0.99,1.15,0.77,0.50,0.25,0.49
Kendrapara,976,20.4969108,86.4288534,1.00,0.00,0.00,0.00,0.00,0.00,1.27,2.04,0.99,0.77,0.41,0.00,0.00,0.47
Jagatsinghapur,917,20.1975828,86.3376761,0.00,0.00,0.00,0.00,0.00,0.00,1.52,1.78,1.12,1.02,0.48,0.00,0.00,0.36
Cuttack,"1,049",20.462521,85.8829895,0.50,0.00,0.00,0.00,0.00,0.00,1.40,1.49,0.89,0.88,0.55,0.00,0.50,0.54
Jajapur,"1,029",20.8341019,86.3326058,0.00,0.00,0.00,0.00,0.00,0.00,1.45,1.47,1.05,0.77,0.72,0.00,0.50,0.39
Dhenkanal,"1,047",20.6503455,85.5972218,0.00,0.00,0.00,0.00,0.00,0.00,1.37,1.21,1.31,1.20,0.82,2.00,0.00,0.50
Anugul,"1,297",20.8444033,85.1510818,0.00,0.00,0.00,0.00,0.00,0.00,1.20,1.11,1.34,0.68,0.42,0.25,0.00,0.36
Nayagarh,985,20.1231332,85.1038426,0.00,0.00,0.00,0.00,0.00,1.30,1.08,1.85,0.44,0.94,0.47,0.00,0.38,0.45
Khordha,"1,284",20.1934552,85.6332093,0.00,0.00,0.50,0.00,0.00,0.00,1.59,1.42,0.67,0.64,0.86,0.00,0.00,0.53
Puri,951,19.8133822,85.8314655,0.00,0.00,0.00,0.00,0.00,0.00,1.45,1.22,0.76,0.88,0.53,0.50,0.25,0.44
Ganjam,"1,009",19.387389,85.0515413,0.00,0.00,0.00,0.00,0.00,3.04,1.72,1.36,0.87,0.84,0.79,0.00,0.00,0.38
Gajapati,733,19.1912221,84.1857115,5.00,9.50,9.65,0.00,0.00,5.45,1.60,0.61,1.50,0.57,0.50,0.25,0.00,0.34
Kandhamal,702,20.4797108,84.2331485,0.00,0.00,3.86,0.00,0.00,3.73,2.11,1.10,0.50,1.05,0.64,0.00,0.00,0.49
Baudh,612,20.828446,84.3271305,0.00,0.00,0.00,0.00,0.00,6.22,1.23,1.42,1.95,0.77,0.78,0.53,0.50,0.78
Sonapur,809,20.8480141,83.8950042,0.00,0.00,0.00,0.00,0.00,0.00,1.41,0.86,0.67,0.75,0.63,0.00,0.75,0.51
Balangir,839,20.7074234,83.4842725,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.92,0.82,0.89,0.32,2.00,0.50,0.53
Nuapada,653,20.8060184,82.5361393,0.00,0.00,1.34,0.00,0.00,1.40,1.83,1.27,1.07,1.38,1.07,0.00,0.00,0.85
Kalahandi,654,19.9137363,83.1649001,0.00,0.00,1.00,0.00,0.00,0.00,1.36,1.33,1.36,1.31,0.77,2.95,0.00,0.54
Rayagada,807,19.171209,83.4163226,0.00,0.00,0.10,0.00,6.00,0.00,1.20,1.10,0.66,1.45,0.00,0.00,0.00,0.50
Nabarangapur,751,19.2281434,82.5469898,0.00,0.00,1.71,2.00,0.00,0.00,1.47,0.94,1.40,0.35,0.52,2.39,4.00,0.48
Koraput,698,18.813487,82.7123327,0.00,0.00,0.00,0.00,2.81,2.06,1.54,1.56,0.80,2.41,0.00,1.41,0.00,0.25
Malkangiri,607,18.3435863,81.8825279,0.00,0.00,1.50,0.00,0.00,0.00,1.59,1.08,1.67,0.50,2.00,2.00,0.00,0.56
Koriya,816,23.3875499,82.3885783,0.00,0.00,1.09,0.25,0.00,0.00,1.17,0.46,1.12,0.51,0.31,0.87,0.23,0.28
Surguja,868,22.9494079,83.1649001,0.50,0.00,2.02,0.10,2.15,0.43,1.39,0.42,1.26,1.08,0.46,1.02,0.67,0.42
Jashpur,"1,011",22.8874202,84.1382368,1.43,0.00,2.11,0.00,1.99,0.50,1.40,1.47,1.60,2.04,0.66,1.08,0.25,0.63
Raigarh,853,21.8950693,83.3600566,0.00,0.00,0.00,0.00,0.00,0.00,2.15,1.65,0.52,1.08,1.00,2.61,0.50,0.58
Korba,878,22.3594501,82.7500595,0.00,0.00,1.00,0.00,0.00,0.00,2.45,0.89,1.41,1.07,0.00,2.89,1.00,1.01
Janjgir,869,21.9705529,82.4752757,0.00,0.00,0.00,0.00,0.00,0.00,2.29,1.14,1.13,0.80,0.00,3.46,0.00,0.81
Bilaspur,989,22.0631449,82.0685546,0.00,0.00,0.00,0.00,0.00,0.00,2.53,1.51,1.03,0.98,1.12,2.60,0.00,0.77
Kawardha,812,22.0089506,81.2243444,0.00,0.00,0.00,0.00,0.00,0.00,3.73,2.00,1.69,0.40,0.38,1.65,0.00,0.73
Rajnandgaon,829,21.0971034,81.0302222,0.00,0.00,0.00,0.00,0.00,0.00,3.60,0.41,1.50,0.66,0.40,1.81,0.00,0.94
Durg,956,21.1904494,81.2849169,0.00,0.00,0.00,0.00,0.00,0.00,3.61,0.37,0.91,1.43,0.40,2.90,0.25,0.55
Raipur,839,21.2513844,81.6296413,0.00,0.00,0.00,0.00,0.00,0.00,2.83,0.83,0.80,1.21,0.45,1.80,0.73,0.87
Mahasamund,"1,012",21.1091317,82.0979023,0.00,0.00,5.02,0.00,0.00,0.00,2.10,2.03,1.76,1.68,0.00,1.72,0.50,0.86
Dhamtari,850,20.7014999,81.5541579,0.00,0.00,0.00,0.00,0.00,0.00,2.29,0.54,1.27,1.61,1.26,1.73,0.00,0.79
Kanker,823,20.2727132,81.4883097,0.00,0.00,9.00,0.00,8.81,0.00,1.99,1.53,0.98,1.22,0.25,1.33,1.78,0.74
Bastar,729,19.2036769,81.9343855,3.00,0.00,4.45,0.00,5.54,0.00,1.70,0.96,1.82,1.44,0.94,1.67,0.00,0.62
Dantewada*,"1,113",18.896863,81.3454417,0.00,0.00,9.14,0.00,5.03,0.00,3.29,1.03,1.87,1.53,1.12,1.33,0.00,0.94
Narayanpur,500,21.8291789,81.8853303,0.00,0.00,3.51,0.00,5.24,1.50,1.61,1.37,1.43,1.62,1.68,0.84,0.10,0.50
Bijapur,"1,616",18.7760051,80.3148378,0.00,0.00,0.00,0.00,10.00,0.00,1.49,0.42,0.58,1.04,0.00,2.06,0.00,0.51
Sheopur,988,25.67282,76.6961305,1.94,15.92,0.00,0.00,0.00,0.00,1.01,0.58,0.70,0.63,0.00,0.00,0.00,0.57
Morena,922,26.4933562,77.9909949,0.00,3.82,0.00,0.00,0.00,0.00,1.29,0.69,0.72,0.87,0.79,0.00,0.00,0.78
Bhind,883,26.5587354,78.7872876,5.00,7.36,0.00,0.00,0.00,0.00,1.42,0.76,0.73,0.78,0.50,0.00,0.00,0.68
Gwalior,"1,616",26.2182871,78.1828308,0.00,7.27,0.25,0.00,0.00,0.00,1.14,0.52,0.50,0.45,0.58,0.00,0.00,0.66
Datia,"1,026",25.6653262,78.4609393,0.00,3.00,0.00,0.00,0.00,0.00,1.33,0.70,0.87,0.97,0.64,0.00,0.00,0.77
Shivpuri,"1,064",25.4357869,77.665066,5.00,0.00,7.50,0.00,4.00,0.00,1.02,0.77,0.75,1.50,0.91,0.00,0.00,0.77
Guna,"1,088",24.6348197,77.2979782,0.00,0.00,3.30,1.00,1.00,0.00,1.06,0.82,0.78,0.98,0.50,0.00,1.00,0.74
Tikamgarh,"1,205",24.7456147,78.8320779,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.94,1.42,1.56,1.00,0.00,0.00,0.88
Chhatarpur,"1,481",24.9163562,79.5811827,0.00,1.00,0.00,0.00,0.00,0.00,1.18,1.35,0.96,1.63,0.77,0.00,1.50,0.93
Panna,895,24.7180311,80.1819268,0.00,0.00,0.00,0.00,0.00,0.00,2.36,1.17,0.46,0.69,0.75,2.06,0.00,0.69
Sagar,"1,132",23.838805,78.7378068,0.25,0.00,0.25,0.00,0.00,0.00,2.05,1.08,1.68,1.08,1.69,2.00,0.97,0.82
Damoh,"1,228",23.8380986,79.4421731,0.00,0.00,0.00,0.00,0.00,0.00,2.69,1.13,1.18,0.94,0.00,0.00,0.50,1.04
Satna,729,24.6005075,80.8322428,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.57,0.53,0.50,1.35,2.57,0.98,0.62
Rewa,840,24.5372927,81.30418,0.00,1.00,0.00,0.00,0.00,0.00,2.44,1.44,1.09,0.88,1.20,1.61,0.00,0.88
Umaria,743,23.5309797,80.8294747,0.00,0.00,0.00,0.00,0.00,0.00,2.31,0.61,1.07,1.33,0.00,1.01,0.00,0.36
Shahdol,697,23.3021885,81.3568021,0.00,0.00,0.00,0.00,0.00,0.00,2.96,0.82,1.76,1.04,2.00,2.00,0.00,0.48
Sidhi,842,24.3956038,81.8825279,0.00,0.00,3.00,0.00,0.00,0.00,3.16,0.50,1.81,1.07,1.00,0.00,0.00,0.86
Neemuch,979,24.4763852,74.8624092,0.00,0.00,8.53,0.00,0.00,0.00,0.88,0.50,0.70,0.87,0.20,0.00,0.00,0.54
Mandsaur,"1,304",24.076836,75.0692952,0.00,0.00,13.13,0.00,0.00,0.00,1.02,0.68,0.78,0.84,0.32,0.00,0.00,0.64
Ratlam,"1,121",23.3341696,75.0376325,0.00,0.00,21.77,0.00,0.00,0.00,1.10,0.82,0.80,1.14,0.88,0.00,0.00,0.82
Ujjain,"1,333",23.1793013,75.7849097,0.00,0.00,5.47,0.00,0.65,0.00,1.37,0.68,0.43,0.68,0.00,0.00,2.00,0.58
Shajapur,"1,175",23.4272938,76.2729839,13.04,2.00,20.92,0.00,0.00,0.00,1.32,0.83,0.92,1.12,0.50,0.00,0.25,0.73
Dewas,"2,039",22.9622672,76.0507949,10.27,3.00,7.10,0.00,0.00,0.00,1.34,0.70,0.74,0.34,1.84,0.00,0.00,0.85
Jhabua,"1,319",22.769666,74.5920921,0.00,1.00,39.10,0.00,0.00,0.00,1.23,0.65,0.87,1.10,0.65,0.00,0.00,1.26
Dhar,"1,569",22.6012922,75.3024655,7.21,28.29,16.36,0.00,0.00,0.00,2.78,1.64,1.29,1.51,0.74,0.00,0.00,0.91
Indore,"1,568",22.7195687,75.8577258,17.04,3.00,5.04,0.00,0.00,0.00,2.53,1.25,0.91,0.85,0.89,0.00,1.00,1.00
West Nimar,898,21.90287,75.8069082,18.89,1.00,5.73,0.00,0.00,0.00,2.72,1.26,0.69,1.04,0.00,0.00,0.00,0.80
Barwani,"1,034",22.0363157,74.903339,45.67,9.87,13.79,1.00,0.00,0.00,2.52,1.13,0.90,1.85,0.00,0.00,0.00,0.68
East Nimar,918,21.8802526,76.6412712,9.00,30.00,8.04,0.00,0.00,0.00,2.38,1.30,0.76,0.83,0.00,0.00,0.50,0.71
Rajgarh,"1,326",24.0078819,76.7278803,5.92,0.00,6.60,0.00,0.54,0.00,1.10,0.81,1.08,0.71,1.17,0.00,0.00,0.69
Vidisha,"1,099",23.5251102,77.8081363,0.00,0.00,0.00,0.00,0.00,0.00,1.54,1.00,0.71,0.96,1.07,1.00,0.00,0.96
Bhopal,"2,316",23.2599333,77.412615,0.00,0.00,0.00,0.00,0.00,0.00,2.26,0.93,1.04,0.81,0.49,0.00,0.00,1.22
Sehore,"1,170",23.205012,77.0850781,0.00,0.00,2.33,0.00,0.00,0.00,1.62,0.81,0.81,0.75,0.89,0.00,1.00,0.60
Raisen,"1,477",23.3327329,77.7823973,0.00,2.00,1.00,0.00,0.00,0.00,1.69,0.86,1.05,0.87,1.64,0.00,1.50,0.91
Betul,692,21.9108031,77.9011842,13.10,0.00,22.23,0.00,0.00,0.00,1.81,1.42,1.56,0.67,1.00,0.00,2.13,0.41
Harda,"1,090",22.3355446,77.0996085,0.00,0.00,0.00,0.00,0.00,0.00,2.25,1.56,1.00,0.65,1.00,0.00,0.00,0.58
Hoshangabad,"1,204",22.744108,77.736967,10.00,0.00,0.00,0.00,0.00,0.00,2.35,1.09,0.68,0.25,0.25,0.00,0.00,1.03
Katni,"1,427",23.8308453,80.4072255,0.00,0.00,0.00,0.00,0.00,0.00,4.48,1.37,2.37,0.89,1.00,0.00,0.00,0.75
Jabalpur,"1,398",23.181467,79.9864071,0.00,0.00,0.00,0.00,5.53,0.00,2.79,0.68,2.05,0.57,0.42,0.00,0.00,0.55
Narsimhapur,"1,421",22.946557,79.1943534,0.00,0.00,0.10,0.00,0.00,0.00,3.05,0.61,0.66,1.38,0.00,0.00,2.00,1.15
Dindori,666,22.9417931,81.0768455,1.00,0.00,1.00,0.00,0.00,0.00,1.20,1.20,2.42,0.73,0.50,0.00,0.00,0.43
Mandla,715,22.5979218,80.3713855,0.50,0.00,4.53,0.00,0.00,1.00,1.54,0.69,1.53,0.57,1.26,0.50,1.90,0.59
Chhindwara,800,22.057437,78.9381729,10.51,0.00,22.18,0.00,0.00,0.00,1.93,1.06,1.08,0.76,1.66,1.50,0.00,0.61
Seoni,790,22.0868691,79.5434841,0.00,0.00,1.60,0.00,0.00,0.00,1.86,1.21,1.00,0.83,1.61,5.00,0.50,0.78
Balaghat,794,21.812876,80.1838293,0.00,0.00,0.00,0.00,0.00,0.00,1.96,0.42,0.50,0.91,1.21,0.00,0.00,0.53
Ashoknagar,"1,579",24.5775148,77.7318495,0.00,0.00,0.00,2.00,0.00,0.00,1.13,0.80,0.97,1.48,1.00,0.00,0.00,0.71
Anuppur,825,23.1136554,81.697629,0.00,0.00,0.00,0.00,0.00,0.00,2.97,0.58,1.71,1.06,0.00,0.00,0.00,0.44
Burhanpur,"1,146",23.2099902,81.956891,0.00,0.00,3.21,0.00,0.00,0.00,2.45,1.17,0.77,0.00,0.50,0.00,0.00,0.69
Alirajpur,814,22.3054748,74.3454265,0.00,0.00,44.22,0.00,0.00,0.00,1.23,1.70,0.77,2.30,0.25,0.00,0.00,0.62
Singrauli,922,24.1989812,82.6434514,0.00,0.00,0.00,0.00,0.00,0.00,2.93,1.23,1.36,1.76,0.90,1.40,0.00,0.78
Kachchh,"2,286",23.7337326,69.8597406,6.10,15.35,47.87,0.00,0.00,0.00,0.75,1.67,0.50,0.33,0.25,0.00,1.79,0.95
Banas,"1,447",24.3070289,72.3514618,0.00,35.13,26.96,0.00,0.00,0.00,0.74,1.18,0.25,0.48,0.53,0.50,0.00,0.60
Patan,"1,316",23.8493246,72.1266255,38.29,29.82,0.00,0.00,0.00,0.00,0.79,1.05,1.00,0.73,0.56,0.00,0.00,0.68
Mahesana,"1,695",23.5879607,72.3693252,23.55,16.79,13.04,0.00,0.00,0.00,0.68,0.74,0.39,0.44,0.50,0.00,0.50,0.62
Sabar,"1,198",23.8476704,72.9932969,5.00,5.38,18.42,0.00,0.00,0.00,1.69,0.95,0.56,0.99,0.58,0.00,0.00,0.50
Gandhinagar,"1,726",23.2156354,72.6369415,5.86,7.56,1.35,5.00,0.50,0.00,1.35,1.63,1.00,0.51,0.47,0.00,0.64,0.60
Ahmadabad,"2,228",23.022505,72.5713621,1.05,3.43,0.89,0.50,0.31,0.00,1.55,1.16,0.86,0.53,0.60,0.00,0.74,0.74
Surendranagar,"1,669",22.7201319,71.649536,4.78,25.09,0.20,0.00,0.00,0.00,1.08,1.98,0.00,0.43,0.33,0.00,0.25,0.85
Rajkot,"2,240",22.3038945,70.8021599,1.58,4.77,0.00,2.00,0.00,0.00,1.02,0.86,0.18,0.52,0.32,1.25,0.22,0.86
Jamnagar,"1,473",22.4707019,70.05773,9.47,8.60,1.67,2.00,0.00,0.00,1.02,1.00,0.36,0.47,0.25,0.00,0.57,0.58
Porbandar,"1,392",21.6417069,69.6292654,11.94,12.92,2.63,10.00,0.00,0.00,0.87,1.06,0.29,0.54,0.20,0.10,1.12,0.49
Junagadh,"1,921",21.522184,70.4578768,0.60,6.96,2.00,2.00,0.00,0.00,0.96,0.90,0.35,0.44,0.35,0.00,0.50,0.95
Amreli,"1,475",21.6031774,71.2220832,2.15,9.28,0.25,0.00,0.25,0.00,0.91,0.74,0.36,0.57,0.11,0.00,0.00,0.60
Bhavnagar,"1,581",21.7644725,72.1519304,2.00,11.90,1.11,0.00,0.50,0.00,0.99,0.65,0.50,0.44,0.34,0.00,0.39,0.40
Anand,"1,244",22.5645175,72.928871,2.47,12.43,9.80,12.00,0.00,0.00,1.93,0.98,0.56,0.93,0.43,0.00,0.00,0.55
Kheda,"1,001",22.750651,72.6846658,0.50,9.77,3.97,3.00,0.00,0.00,1.98,1.25,0.87,0.78,0.45,0.00,0.00,0.55
Panch Mahals,"1,059",22.8011177,73.5594128,8.00,20.38,23.75,0.00,0.00,0.00,2.90,1.00,0.51,0.58,0.61,2.50,0.64,0.68
Dohad,915,22.8379314,74.2531465,0.00,2.30,21.54,1.50,0.00,0.00,2.08,1.17,0.59,0.70,0.48,0.00,1.01,0.71
Vadodara,"1,666",22.3071588,73.1812187,6.64,11.84,26.77,0.50,0.00,0.00,2.85,0.84,0.84,0.60,0.38,0.00,0.50,0.69
Narmada,"1,107",21.8757175,73.5594128,18.87,24.50,13.24,0.00,0.00,0.00,2.87,0.79,0.59,0.60,0.48,0.00,0.00,0.57
Bharuch,"1,860",21.7051358,72.9958748,10.18,13.50,7.46,0.00,0.00,0.00,2.52,0.88,0.67,0.37,0.42,0.00,0.00,0.74
Surat,"2,242",21.1702401,72.8310607,8.11,7.89,1.06,3.00,0.00,0.00,1.65,0.72,0.47,0.45,0.66,0.00,0.41,0.68
The Dangs,"1,019",20.8253781,73.7007088,5.70,2.00,2.50,0.00,0.00,16.09,2.17,0.48,0.25,2.83,0.48,0.00,0.19,0.30
Navsari,"1,927",20.9467019,72.9520348,6.24,3.97,0.00,0.00,0.00,11.56,2.97,1.57,1.44,1.16,0.45,0.25,0.37,0.62
Valsad,"3,169",20.5992349,72.9342451,5.73,10.00,0.00,0.00,0.00,11.16,2.74,1.26,1.24,1.22,0.27,1.00,0.00,0.57
Diu,"1,763",20.7144094,70.9873719,0.00,6.05,0.00,2.75,0.00,0.00,0.54,0.37,0.30,0.29,0.00,0.00,0.00,0.36
Daman,"2,279",20.3973736,72.8327991,11.80,2.11,0.00,0.00,0.00,0.00,1.46,1.21,0.70,0.81,0.50,0.00,0.25,0.39
Dadra & Nagar Haveli,"1,572",20.2777871,73.0641396,5.57,2.97,0.00,0.00,0.00,6.63,2.32,0.98,0.89,1.44,0.58,0.00,1.07,0.58
Nandurbar,"1,366",21.3755507,74.2427644,14.65,9.38,10.10,0.00,1.61,3.00,1.88,1.29,0.59,1.57,0.38,0.00,0.66,0.56
Dhule,"1,423",20.9042201,74.7748979,8.95,10.94,1.00,0.00,0.76,0.62,1.79,0.92,0.63,0.77,0.80,0.00,0.50,0.58
Jalgaon,"1,610",21.0076578,75.5626039,10.32,7.78,2.00,2.00,1.28,1.67,1.45,1.02,0.79,0.91,0.59,0.00,1.61,0.76
Buldana,"1,171",20.5292147,76.1841701,9.74,2.58,1.70,0.00,0.00,0.00,2.07,0.74,0.48,0.64,0.29,0.00,0.11,0.60
Akola,"1,454",20.7059345,77.0219019,9.54,2.49,0.00,0.00,0.00,0.00,2.11,0.54,0.49,0.53,0.71,0.00,0.00,0.72
Washim,"1,189",20.1119123,77.1312586,9.08,5.03,0.00,0.00,0.00,0.00,1.96,0.79,0.54,0.53,0.55,0.00,0.00,0.60
Amravati,"1,920",20.9374238,77.7795513,5.91,3.77,1.00,0.00,0.00,0.00,2.50,0.59,0.76,0.53,0.73,0.00,0.50,0.46
Wardha,"1,608",20.745319,78.6021946,4.54,1.00,0.00,0.00,0.00,0.00,2.64,0.88,0.48,0.48,0.58,1.00,0.00,0.52
Nagpur,"1,904",21.1458004,79.0881546,3.13,1.17,0.00,0.00,0.00,0.22,2.32,0.63,0.54,0.61,0.61,0.89,0.00,0.77
Bhandara,"1,364",21.1750113,79.6558242,1.49,0.00,0.00,0.00,0.00,0.00,1.85,0.57,0.55,0.53,0.48,1.22,0.26,0.48
Gondiya,"1,338",21.4624491,80.2209773,1.18,0.00,0.00,0.00,0.00,0.00,1.65,0.73,0.43,0.87,0.52,1.03,0.25,0.51
Gadchiroli,"1,346",20.184871,79.9947956,1.28,0.00,0.00,0.00,0.00,0.00,2.08,0.92,0.49,0.59,0.50,1.57,0.00,0.71
Chandrapur,"1,345",19.9704597,79.3014845,1.12,0.00,0.00,0.00,0.00,0.00,2.24,0.49,0.60,0.51,0.52,1.73,0.00,0.77
Yavatmal,"1,393",20.3887937,78.1204073,7.91,2.09,0.00,0.00,0.50,0.00,2.50,0.59,0.69,0.63,0.72,0.50,0.84,0.43
Nanded,"1,432",19.1382514,77.3209555,15.01,21.10,0.00,0.00,0.70,1.00,2.05,1.30,0.80,0.84,0.00,0.00,0.00,0.81
Hingoli,"1,425",19.7173703,77.1493722,13.93,0.00,0.00,0.00,0.80,1.00,2.47,1.45,0.74,1.01,1.26,0.00,0.00,1.05
Parbhani,"1,382",19.2609958,76.776665,12.80,4.32,0.00,0.00,0.64,0.50,1.65,0.98,0.63,0.70,0.53,0.00,0.00,0.71
Jalna,"1,041",19.8296893,75.8800305,9.59,9.28,0.00,0.00,0.61,1.00,1.63,0.93,0.85,0.67,0.84,0.00,0.25,0.61
Aurangabad,"1,377",19.870244,75.2351604,5.92,11.02,0.00,0.00,0.32,0.00,1.24,0.67,0.62,0.60,0.40,0.00,0.20,0.78
Nashik,"1,964",19.9974533,73.7898023,11.09,9.75,7.64,10.15,1.01,16.86,1.36,0.91,0.63,0.71,0.51,0.50,0.00,0.80
Thane,"2,374",19.2183307,72.9780897,4.97,4.78,1.77,0.00,9.00,18.24,2.17,0.98,0.90,1.03,0.62,4.55,0.77,0.63
Mumbai,"2,953",19.1538231,72.8751786,4.87,2.63,1.14,0.00,2.00,3.57,2.08,0.87,0.76,0.72,0.55,1.60,0.42,0.69
Raigarh,"1,479",18.4899583,72.6965274,5.40,5.09,0.00,0.00,0.00,7.71,1.59,1.23,1.29,1.04,0.44,0.00,0.41,0.50
Pune,"2,282",18.5204303,73.8567437,7.13,6.96,9.00,12.00,0.63,0.00,1.39,0.90,0.69,0.62,0.61,0.25,0.49,0.82
Ahmadnagar,"1,421",19.0952075,74.7495916,9.29,14.21,4.95,3.14,1.46,9.83,1.28,1.11,0.79,0.67,0.41,0.00,2.00,0.81
Bid,"1,673",18.9890893,75.7600785,9.23,10.07,0.00,0.00,0.95,0.50,1.29,0.81,0.65,0.66,0.44,0.00,0.26,0.74
Latur,"1,597",18.4087934,76.5603828,19.52,3.00,1.00,1.00,0.77,1.00,2.67,1.44,0.87,0.83,0.65,0.25,1.00,0.82
Osmanabad,"1,318",18.1860659,76.0419409,15.30,9.72,0.00,0.00,0.83,0.94,1.96,0.97,0.99,0.98,0.74,1.14,1.00,0.78
Solapur,"1,675",17.6599188,75.9063906,15.58,11.11,10.74,0.00,0.91,0.87,1.97,0.97,1.03,0.98,0.65,1.00,1.00,0.86
Satara,"1,672",17.6804639,74.018261,10.35,7.87,0.00,0.00,1.00,10.00,1.02,0.71,0.47,0.80,0.43,0.88,0.19,0.83
Ratnagiri,"1,425",16.990215,73.3120233,4.20,6.70,0.00,0.00,0.00,9.09,1.17,0.93,0.85,0.58,0.65,1.00,0.00,0.65
Sindhudurg,"1,594",16.3492193,73.5594128,5.15,0.00,7.00,4.56,0.50,5.20,0.99,0.70,0.59,0.58,0.27,0.00,0.00,0.44
Kolhapur,"1,676",16.7049873,74.2432527,9.35,8.21,0.00,3.88,0.56,9.53,1.28,0.92,0.77,0.63,0.38,0.00,0.00,0.64
Sangli,"1,464",16.8523973,74.5814773,11.38,5.16,5.00,0.50,0.50,0.00,1.02,0.83,0.64,0.55,0.44,1.00,0.00,0.49
Adilabad,"1,479",19.4230512,78.4471297,6.62,0.00,3.79,0.00,0.00,0.00,1.48,1.13,0.64,0.61,0.50,0.00,0.50,0.65
Nizamabad,"1,149",18.2836461,84.0140984,4.83,0.00,0.00,0.00,0.00,0.00,1.34,1.23,1.05,0.73,0.00,0.00,0.00,0.72
Karimnagar,"1,458",18.3890336,79.1398601,7.55,0.00,0.00,0.00,0.00,0.00,0.96,0.85,0.49,0.45,0.00,0.00,0.00,0.30
Medak,"1,280",17.4466815,78.3573899,5.61,0.00,0.00,0.00,0.00,0.00,1.20,0.85,0.44,0.99,0.00,0.00,0.00,0.65
Hyderabad and Rangar,"2,784",17.4126274,78.267957,3.32,0.00,0.00,0.73,0.00,1.59,2.07,0.88,0.99,1.00,0.37,0.00,0.31,0.70
Rangareddi,"1,811",14.9051797,79.9948481,9.74,1.00,3.00,0.50,0.00,1.17,1.97,0.72,0.68,0.96,0.65,1.00,0.31,0.81
Mahbubnagar,"1,364",16.3841436,78.1108279,6.63,0.00,2.50,0.50,0.00,2.09,2.28,0.79,0.94,0.85,0.00,0.00,0.33,0.44
Nalgonda,"1,486",17.1882998,79.1999949,3.25,0.00,0.00,0.00,0.00,1.26,1.65,0.83,0.74,1.14,0.00,0.50,0.40,1.10
Warangal,"1,754",17.0143104,80.3759106,10.62,1.00,0.00,0.00,0.00,0.97,1.86,1.03,0.70,0.75,0.00,0.00,0.87,0.57
Khammam,"1,639",17.6350961,80.6326916,2.66,0.00,0.00,0.00,0.00,1.00,1.67,0.77,0.69,0.73,0.67,0.00,0.00,0.48
Srikakulam,"1,470",18.2969747,83.8967813,0.00,0.00,0.00,0.38,0.00,3.13,1.96,0.74,0.50,1.17,0.63,0.00,0.53,0.47
Vizianagaram,"1,355",18.1066576,83.3955506,0.00,2.00,0.29,0.53,0.00,4.45,1.37,0.75,1.39,1.04,0.53,0.00,0.35,0.50
