District,Median Income,Latitude,Longitude,jowar,bajra,maize,barley,small millets,ragi,arhar,moong,masur,urd,peas,khesari,gram products,besan
Sawai,"1,233",26.0377772,76.3521514,2.00,14.19,5.00,0.00,0.00,0.00,1.03,0.77,0.49,0.59,0.00,0.00,0.80,1.04
Dausa,"1,708",26.8931931,76.3375284,0.00,19.35,0.00,0.00,0.00,0.00,0.49,0.72,0.34,0.43,0.25,0.00,0.00,0.93
Jaipur,"1,955",26.9124336,75.7872709,1.36,17.41,1.62,17.63,0.00,0.00,0.54,0.81,0.51,0.45,0.32,0.00,0.43,0.79
Sikar,"1,806",27.6094,75.139911,5.74,14.31,3.00,0.00,0.00,0.00,1.47,1.14,0.58,0.74,0.00,2.00,1.66,1.64
Nagaur,"1,528",27.1991222,73.740924,10.00,31.55,7.17,0.00,0.00,0.00,0.35,1.32,0.50,0.85,2.00,0.00,0.00,0.58
Jodhpur,"1,744",26.2389469,73.0243094,10.48,47.52,0.00,0.00,2.00,0.60,0.53,1.49,0.91,0.50,0.00,0.00,1.00,1.05
Jaisalmer,"1,442",26.9157487,70.9083443,70.00,49.53,0.00,0.00,0.00,0.00,0.15,1.38,0.92,0.38,0.00,0.00,0.50,0.50
Barmer,"1,783",25.7531537,71.4180622,58.41,52.94,0.00,0.00,0.00,0.00,0.63,1.53,0.74,0.57,0.00,0.00,0.25,0.54
Jalor,"1,567",25.3444799,72.6253763,0.00,44.59,0.00,0.00,0.00,0.00,0.61,1.67,0.52,0.45,0.00,0.00,0.00,0.70
Sirohi,"1,299",24.8851548,72.8574558,0.00,5.00,14.62,0.00,0.00,0.00,0.61,0.72,0.48,0.66,0.50,0.00,0.00,1.88
Pali,"1,764",25.7710893,73.3234478,1.43,30.29,16.85,0.00,0.00,0.00,0.53,1.71,0.52,0.45,1.00,0.00,0.50,0.86
Ajmer,"1,751",26.4498954,74.6399163,0.00,23.67,15.72,30.00,0.00,0.00,0.43,0.91,0.56,0.66,0.25,0.00,0.00,0.57
Tonk,"1,587",26.1620402,75.7894716,0.00,7.39,4.57,0.00,0.00,0.00,0.41,0.44,0.30,0.35,0.20,0.00,0.00,0.62
Bundi,"1,234",25.4305144,75.6499025,0.00,2.87,9.88,0.00,0.00,0.00,0.66,0.85,0.57,0.67,0.10,0.00,0.00,0.73
Bhilwara,"2,125",25.321377,74.586953,0.00,21.80,12.73,0.00,0.00,0.00,0.46,0.86,0.51,0.97,0.50,0.00,0.00,0.56
Rajsamand,"1,310",25.0714851,73.8830701,0.00,0.00,10.13,0.00,0.00,0.00,0.67,0.69,0.51,0.90,0.00,0.00,0.00,0.69
Udaipur,"1,310",24.585445,73.712479,0.00,0.00,15.31,0.00,0.63,0.00,0.75,0.68,0.40,0.82,0.20,0.00,0.00,0.45
Dungarpur,890,23.841668,73.7146623,0.00,3.00,4.67,0.00,2.00,0.00,0.73,0.54,0.52,0.82,1.00,0.00,0.00,0.71
Banswara,"1,278",23.5461394,74.4349761,0.00,0.00,16.96,0.00,0.00,0.00,1.24,0.89,0.36,1.04,0.20,0.00,0.00,0.59
Chittaurgarh,"1,524",24.8887435,74.6269216,0.00,1.00,8.87,0.00,0.00,0.00,0.72,0.72,0.59,0.75,0.67,0.00,0.00,0.59
Kota,"1,535",25.2138156,75.8647527,1.82,4.58,13.26,0.00,0.00,0.00,0.68,0.81,0.51,0.63,0.50,0.00,1.00,0.73
Baran,"1,398",25.1011438,76.5131637,0.00,2.64,3.31,0.00,0.00,0.00,0.76,0.63,0.45,0.43,0.50,0.00,0.00,0.59
Jhalawar,"1,375",24.5973494,76.1609838,5.57,2.78,3.97,0.00,0.00,0.00,0.75,0.68,0.47,0.70,0.50,0.00,1.50,0.89
Saharanpur,"1,379",29.967079,77.5510172,0.00,0.00,0.00,0.00,0.00,0.00,0.97,1.00,1.41,1.62,1.00,0.00,0.47,0.90
Muzaffarnagar,"1,374",29.4726817,77.7085091,0.00,0.00,1.59,2.00,0.00,0.00,0.99,0.90,1.16,1.19,2.00,0.00,0.71,0.83
Bijnor,"1,000",29.3724422,78.1358472,2.00,0.00,1.00,0.00,0.00,0.00,1.52,1.29,1.32,1.53,1.32,0.50,0.00,0.69
Moradabad,"1,051",28.8386481,78.7733286,0.00,0.00,1.19,0.00,0.00,0.00,1.53,0.60,0.95,1.34,1.06,0.00,0.00,0.72
Rampur,996,28.7893041,79.0249516,0.00,0.00,0.00,0.00,0.00,0.00,1.60,0.68,1.14,1.62,0.92,0.00,0.00,1.00
Jyotiba Phule Nagar,"1,002",28.7715965,78.3387066,0.00,0.00,0.50,0.00,0.00,0.00,1.25,1.10,1.29,1.80,1.58,1.00,0.00,0.67
