District,Median Income,Latitude,Longitude,jowar,bajra,maize,barley,small millets,ragi,"arha, tur",moong,masur,urd,peas,khesari,other pulses,gram products,besan,other pulse products
Warangal,0.592331891,17.0143104,80.3759106,1.292784309,-0.254851782,-0.495215578,-0.207659596,-0.166393773,0.018622847,0.69668427,0.237047725,-0.575728894,-0.261513235,-1.084589471,-0.602345242,-0.537069618,0.650732097,-0.025336809,-0.403096387
Khammam,0.383142417,17.6350961,80.6326916,0.068009403,-0.406093059,-0.495215578,-0.207659596,-0.166393773,0.031040263,0.437312189,-0.348138456,-0.592373851,-0.305017993,-0.221401908,-0.602345242,-0.649260324,-0.663258617,-0.33800435,-0.521192589
Srikakulam,0.077556005,18.2969747,83.8967813,-0.340805136,-0.406093059,-0.495215578,-0.029259982,-0.166393773,0.820614458,0.831405406,-0.417428996,-0.907877713,0.497977202,-0.274570848,-0.602345242,-0.410069834,0.130911924,-0.356184823,-0.696411039
Vizianagaram,-0.132305278,18.1066576,83.3955506,-0.340805136,-0.103610505,-0.449615573,0.038433216,-0.166393773,1.308591947,0.023198762,-0.408141663,0.587152457,0.26735213,-0.4090644,-0.602345242,-0.386770022,-0.127804716,-0.270955026,-0.495537009
Visakhapatnam,0.065318044,17.6868159,83.2184815,-0.340805136,-0.406093059,-0.378891329,-0.063724274,1.768906856,1.415259641,0.113988914,-0.266051572,-0.533640574,0.431974872,-0.332649807,0.559464386,0.294105877,-0.126552651,-0.238630038,-0.23613959
East Godavari,0.236141485,17.32125,82.0407137,-0.263893392,-0.406093059,-0.337873184,0.121864545,-0.108173309,0.103312145,-0.338163213,-0.860037204,-0.998522596,0.673996579,-0.304744441,-0.602345242,-0.560134614,0.381375565,-0.407144182,-0.406752872
West Godavari,0.380600359,16.9174181,81.3399414,-0.186981648,-0.406093059,-0.337617027,0.025731042,0.066488083,0.161842754,0.454524686,-0.730986807,-0.424008136,1.349427225,-0.611515913,-0.094951093,-0.417322974,0.031312125,0.186742997,-0.153522097
Krishna,1.04846003,16.6099914,80.7214417,0.414531598,-0.406093059,-0.495215578,0.244189818,-0.166393773,0.103922137,0.562787139,-0.326833708,3.268709992,1.571692761,-0.362452548,0.374063374,-0.608637519,0.006678994,0.40313235,-0.05312582
Guntur,0.394835794,16.3066525,80.4365402,-0.004576411,-0.36828274,-0.333854967,-0.160981468,-0.166393773,0.007491891,0.325361776,-0.688383736,-1.45470096,0.822066223,-1.084589471,-0.602345242,-0.844973657,-0.663258617,0.521178808,-0.364978375
Prakasam,0.131392261,15.348463,79.560344,-0.008404956,-0.406093059,-0.495215578,-0.207659596,-0.166393773,0.08471422,1.314559138,0.200891073,-0.907877713,0.476287135,1.041705357,-0.021440428,-0.038908812,-0.007158735,-0.531832598,0.350661788
Nellore,0.197466479,14.4425987,79.986456,-0.340805136,-0.103610505,-0.495215578,-0.207659596,-0.166393773,0.112247576,0.806695131,-0.286569003,0.342756035,0.65922996,-0.302423129,-0.602345242,-0.343113344,-0.032438665,-0.300540722,-0.149682794
Cuddapah,0.41152219,14.4673541,78.8241339,0.009126858,-0.139551324,-0.495215578,-0.207659596,-0.166393773,0.18996287,0.685176708,-0.895772896,-1.748309403,-0.163667701,-1.084589471,-0.021440428,-0.346978161,-0.083554288,-0.147108361,0.069202186
Kurnool,-0.329038913,15.8281257,78.0372792,0.595999592,0.703702666,-0.495215578,-0.207659596,-0.166393773,0.468061313,1.95053283,-1.370838109,-0.111666511,-0.378573073,0.197928963,-0.602345242,-0.987792511,-0.286377265,-0.770113059,-0.139974661
Anantapur,-0.218806389,14.6818877,77.6005911,0.341458073,-0.198753277,-0.18622279,-0.207659596,-0.166393773,1.236542728,1.635655729,-1.197202048,5.395359961,-0.597757786,-0.50975175,-0.602345242,0.241694921,-0.123814991,0.892376394,0.120364847
Chittoor,0.28554726,13.217176,79.1003289,-0.235120689,-0.254851782,-0.495215578,-0.207659596,-0.166393773,0.327075718,0.682091174,-0.694462946,-1.328093558,0.065513815,-0.761279386,-0.602345242,0.368685244,-0.20549657,-0.25350971,0.280498282
