District,rice-om,wheat-om
East Nimar,4.72,37.28
Rajgarh,2.43,39.47
Vidisha,2.74,40.11
Bhopal,5.41,28.11
Sehore,5.65,32.49
Raisen,3.63,39.73
Betul,11.82,40.77
Harda,12.34,43.68
Hoshangabad,6.12,39.06
Katni,16.14,20.60
Jabalpur,13.83,23.99
Narsimhapur,7.65,32.66
Dindori,15.06,9.69
Mandla,13.68,12.26
Chhindwara,13.11,29.36
Seoni,20.78,27.35
Balaghat,32.13,15.44
Ashoknagar,4.26,59.92
Anuppur,26.27,16.85
Burhanpur,5.08,34.92
Alirajpur,5.20,26.40
Singrauli,24.51,25.47
Kachchh,6.73,27.22
Banas,3.61,20.46
Patan,4.53,29.02
Mahesana,5.12,15.96
Sabar,12.25,13.16
Gandhinagar,6.60,19.63
Ahmadabad,5.54,22.08
Surendranagar,6.28,30.05
Rajkot,2.30,26.92
Jamnagar,2.98,30.18
Porbandar,3.04,23.09
Junagadh,2.71,25.14
Amreli,3.20,20.09
Bhavnagar,3.72,19.08
Anand,13.92,12.95
Kheda,14.24,14.75
Panch Mahals,10.76,14.69
Dohad,8.65,9.90
Vadodara,11.58,15.27
Narmada,12.45,11.26
Bharuch,12.02,15.57
Surat,11.55,20.06
The Dangs,12.70,17.58
Navsari,20.38,12.10
Valsad,14.25,12.84
Diu,10.92,10.80
Daman,10.44,7.20
Dadra & Nagar Haveli,19.10,14.16
Nandurbar,12.07,15.38
Dhule,12.34,18.31
Jalgaon,9.23,23.52
Buldana,6.16,26.87
Akola,7.44,29.51
Washim,8.31,26.99
Amravati,7.61,26.59
Wardha,14.16,21.61
Nagpur,15.36,21.40
Bhandara,22.32,15.99
Gondiya,23.69,9.70
Gadchiroli,19.52,16.25
Chandrapur,21.96,15.27
Yavatmal,7.61,24.05
Nanded,12.07,19.33
Hingoli,9.11,26.81
Parbhani,7.98,23.19
Jalna,5.14,25.64
Aurangabad,3.88,24.65
Nashik,9.41,20.70
Thane,16.43,15.90
Mumbai,14.12,15.90
Raigarh,23.40,10.09
Pune,10.93,16.54
Ahmadnagar,8.95,20.43
Bid,5.06,24.81
Latur,11.53,18.77
Osmanabad,7.40,18.96
Solapur,10.62,19.06
Satara,9.41,18.13
Ratnagiri,18.09,13.08
Sindhudurg,19.35,10.68
Kolhapur,15.79,14.40
Sangli,13.65,13.89
Adilabad,22.89,2.65
Nizamabad,25.10,1.97
Karimnagar,29.55,1.30
Medak,35.11,1.65
Hyderabad and Rangar,29.59,4.77
Rangareddi,30.41,2.74
Mahbubnagar,29.52,2.89
Nalgonda,27.05,2.16
Warangal,33.39,1.68
Khammam,31.15,1.85
Srikakulam,27.31,2.23
Vizianagaram,25.99,1.77
Visakhapatnam,25.05,2.44
